time(h),Glu2,,,,,,GSH,,,,,,Glu1,,,,,,GSSG,,,,,,Glu,,,,,,Gln,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0167,0.007444064,0,0.001602599,0.007444064,0,0.001602599,0,0,0.043992414,0,0,0.043992414,0.007444064,0,0.001602599,0.007444064,0,0.001602599,0.047162038,0.032075723,0.104023541,0.047162038,0.032075723,0.104023541,0.007444064,0,0.001602599,0.007444064,0,0.001602599,0.389153451,0.107478456,0.389063861,0.389153451,0.107478456,0.389063861
0.05,0.033376535,0.038290819,0.029474441,0.010116657,0.020797583,0.023589595,0,0,0,0,0,0,0.033376535,0.038290819,0.029474441,0.010116657,0.020797583,0.023589595,0.008604656,0.009909009,0.015552284,0.109717801,0.012412238,0.082833833,0.033376535,0.038290819,0.029474441,0.010116657,0.020797583,0.023589595,0,0,0,0.674347783,0.045669,0.488924338
0.083,0.027750756,0.033200614,0.028003339,0.027750756,0.033200614,0.028003339,0,0.015825306,0,0,0.015825306,0,0.027750756,0.033200614,0.028003339,0.027750756,0.033200614,0.028003339,0.063781492,0.043662188,0.049760008,0.063781492,0.043662188,0.049760008,0.027750756,0.033200614,0.028003339,0.027750756,0.033200614,0.028003339,0.102614009,0.226813911,0.112869768,0.102614009,0.226813911,0.112869768
0.167,0.121148446,0.116011434,0.130784948,0.050133196,0.052598046,0.051159971,0,0,0,0,0.010783063,0,0.121148446,0.116011434,0.130784948,0.050133196,0.052598046,0.051159971,0.016466768,0.00188964,0,0.103500697,0.02937292,0.016156358,0.121148446,0.116011434,0.130784948,0.050133196,0.052598046,0.051159971,0,0.018981744,0,0.283683375,0.263197485,0.034773789
0.5,0.389959365,0.384989054,0.36422561,0.154095748,0.148868674,0.158690424,0,0,0,0,0.001144445,0,0.389959365,0.384989054,0.36422561,0.154095748,0.148868674,0.158690424,0.020646555,0.014708213,0.038863558,0.030857882,0.073108772,0.039321553,0.389959365,0.384989054,0.36422561,0.154095748,0.148868674,0.158690424,0.120984773,0.098151524,0.101519458,0.132147023,0.369369039,0.463854911
1,0.618875643,0.62953208,0.645199813,0.422867438,0.384056476,0.378501401,0,0,0,0.104083474,0,0.036320575,0.618875643,0.62953208,0.645199813,0.422867438,0.384056476,0.378501401,0.042423236,0.044855125,0.030137886,0.156914429,0.101960127,0.120144888,0.618875643,0.62953208,0.645199813,0.422867438,0.384056476,0.378501401,0.168965837,0.208181342,0.187425063,0.492543227,0.395640443,0.428665304
3,0.836951698,0.802021716,0.833629257,0.791718494,0.777700924,0.788950829,0.225968993,0.242653257,0.232685685,0.373111864,0.360180056,0.294115583,0.836951698,0.802021716,0.833629257,0.791718494,0.777700924,0.788950829,0.324501569,0.347375341,0.369506023,0.415871661,0.396041968,0.417374541,0.836951698,0.802021716,0.833629257,0.791718494,0.777700924,0.788950829,0.20917491,0.212642259,0.190559633,0.232980447,0.610027365,0.294264465
6,0.956562078,0.909844126,0.947881833,1.005821279,0.991985822,1.002192899,0.647672462,0.651180567,0.638758176,0.96137382,1.049935662,0.988690518,0.956562078,0.909844126,0.947881833,1.005821279,0.991985822,1.002192899,0.751116553,0.711512184,0.764047616,1.020396258,1.008195434,0.971408307,0.956562078,0.909844126,0.947881833,1.005821279,0.991985822,1.002192899,0.564880068,0.488937944,0.587425633,1.091785797,1.016174629,0.892039573
9,1.017479452,0.986110938,0.99640961,1.017479452,0.986110938,0.99640961,1.001320063,0.989757824,1.008922113,1.001320063,0.989757824,1.008922113,1.017479452,0.986110938,0.99640961,1.017479452,0.986110938,0.99640961,0.956691278,1.007851645,1.035457076,0.956691278,1.007851645,1.035457076,1.017479452,0.986110938,0.99640961,1.017479452,0.986110938,0.99640961,1.019034102,0.942039725,1.038926173,1.019034102,0.942039725,1.038926173
